idiom,masked_text,candidates
از چاله به چاه افتادن,"از آنجا که تقاضا برای ورود به آموزش عالی بالا است، هر مولفه‌ای که در نظام سنجش قرار بگیرد، در نظام آموزشی مشروعیت پیدا می‌کند و تقاضا را به سمت خود هدایت می‌کند
اگر این مولفه، تست چهارگزینه‌ای باشد، نظام آموزشی از دانش‌آموز و خانواده تا بازار کمک آموزشی، در جهت تقویت تست‌زنی حرکت می‌کنند و اگر مولفه‌های سنجش، طیف گسترده‌ و متنوعی از شایستگی‌ها قرار گرفت، نظام آموزشی نیز از یکسان‌انگاری دانش‌آموزان بیرون می‌آید و رسالت خود را ارتقا شایستگی‌ها در دانش‌آموزان قرار می‌دهد
وی متذکر شد: اگر قصد داریم نظام آموزشی از یکسان‌انگاری دانش‌آموزان و استانداردسازی دور شود و تنوع استعدادها را به رسمیت بشناسد، باید نظام سنجش و پذیرش آموزش عالی، این درک از تنوع را در خود نهادینه کند تا کلیت نظام آموزشی برای تغییر مشروعیت پیدا کند
اما اگر نخواهیم تحولی در آموزش و پرورش رقم بزنیم، راه‌حل‌های ما برای برطرف ساختن مشکل کنکور، مصداق بارز <<MASKED_IDIOM>> است
کافی است مصوبه کنکوری اجرا شود، دو سال بعد مجدد این مسئله در نظام خط مشی‌گذاری کشور مطرح خواهد شد که مشکلات جدید را چگونه برطرف کنیم
علی اکبر ادامه داد: اگر بخواهیم تأثیر مصوبه کنکوری را بر عدالت اجتماعی بررسی کنیم باید گفت در مقایسه با کنکور، اندک امکان رقابت طبقات محروم جامعه با طبقات بالادست نیز در این سناریو از بین می‌رود
موضوعی تحت عنوان تحرک طبقاتی در جامعه‌شناسی مطرح است، بسترهای لازم برای رشد طبقاتی در جامعه باید فراهم باشد و یکی از اصلی‌ترین نهادهایی که این امر را در جوامع عادلانه به وجود می‌آورد، نظام آموزشی باکیفیت همگانی است","['با حلوا حلوا گفتن دهان شیرین نمی شود', 'وعده سر خرمن', 'رو دست خوردن', 'بازی خوردن', 'ضد حال', 'ککش نمی گزد', 'پیراهن عثمان کردن', 'جانا سخن از زبان ما می گویی', 'کاسه داغ تر از اش', 'باد و بروت']"
از چاله به چاه افتادن,"خصوصی‌سازی این دو باشگاه به غیر از عزم جدی،‌ نیاز به برنامه و حرکت در مسیر صحیح دارد، اگر کار به غیر از این باشد، متولیان امر راه را اشتباه رفته‌اند و برای اینکه ابروی دو باشگاه را درست کنند، ممکن است چشم‌شان را هم کور کنند
تجربه نشان داده که این طلسم،‌ با وعده و وعید بی پایه و اساس شکسته نخواهد شد
شاید مهمترین ابزار‌های لازم برای برپایی جشن پیروزی و استقلال این دو باشگاه 3 اصل مهم باشد؛ عزم جدی، برنامه و صبر
فعلاً مهمترین دستور کار باید این باشد که <<MASKED_IDIOM>> سرخابی‌های پایتخت جلوگیری شود نه اینکه باز هم شاهد کورس عجولانه و بی‌ثمر در ماجرای خصوصی‌سازی سرخابی‌ها که از پیش‌ وجود داشته، باشیم
انتهای پیام/","['دست از پا درازتر', 'ترمز بریدن', 'سنگ انداختن', 'بازی دادن', 'گندم نما', 'چسان فسان', 'روغن سوزی', 'باده نوشی', 'استراق سمع', 'چک و چانه زدن']"
از کوره در رفتن,"تعداد قربانیان پسر بیشتر است
نظام قضایی فرانسه سندروم تکان دادن بچه را جرم‌ می‌داند و ارتکاب آن می‌تواند دستکم ۳ سال زندان را به‌دنبال داشته باشد
دکتر ان لوران‌وانیه که این تحقیق زیر نظر او انجام شده می‌گوید تکان دادن یک ژست بسیار خشن است و کاملا با پرتاب کردن بچه در هوا به‌ قصد بازی کردن متفاوت است
بنابراین باید بین بازی و تعامل با کودک و <<MASKED_IDIOM>> تمایز قائل شد
نوزاد یا کودکی که دچار آسیب های تکان‌دادن‌های پی درپی قرار گرفته ممکن است اشتهای همیشگی خود را نداشته باشد یا قادر به بلند کردن سر نشود
از دیگر علایم این سندروم می‌توان به مشکل تنفسی یا نگرفتن سینه مادر اشاره کرد که در صورت مشاهده باید بلافاصله به پزشک مراجعه کرد
بزرگسالانی که صبر خود را در برابر یک نوزاد از دست می‌دهند باید طلب کمک کنند و نباید از اینکه درباره نگرانی و نقطه ضعف خود با دیگران حرف می‌زنند ابایی داشته باشند","['غرغره کردن', 'پنجه زدن', 'قاپ زدن', 'تیغ زن', 'دهن لق', 'روزی دست خداست', 'از چاله به چاه افتادن', 'بسم الله', 'خالی بندی', 'پشت گرمی']"
از کوره در رفتن,"معمولاً کارشان با دیگران خوب پیش می رود و جزء کارمندان تحسین برانگیز محسوب می شوند اما دوست ندارند که کسی از آنها انتقاد کند
آن ها به دنبال ایده آل ها هستند تا از هرگونه انتقادی جلوگیری کنند
اگر با یک بهمن ماهی دوست یا هم خانواده هستید حتما میدانید که متولدین ماه بهمن، افرادی حساس و نکته سنج هستند و همین حساسیت بالای آنها باعث میشود گاهی نسبت به مسائل اطرافشان واکنش سریع نشان دهند و خود را درگیر کنند
برخی از بهمن ماهی ها به زود <<MASKED_IDIOM>> و لجبازی معروفند اما برخی سعی می کنند تمام حرکات و رفتارهای خود را کنترل کنند
اسفند ماهی ها به قدری حساس هستند که همیشه به عمیق ترین احساسات درونی خود رجوع می کنند
اسفند ماهی ها به خوبی دیگران را درک می کنند، دلسوز هستند به دیگران اهمیت می دهند و سعی می کنند بهترین خود باشند و بهترین کار ها را انجام دهند
در واقع حساس نبودن و یا احساسی نشدن برای آن ها غیرممکن است","['قیافه گرفتن', 'جبهه گرفتن', 'نیش زدن', 'دود از کنده بلند می شود', 'زوار در رفته', 'کار نشد ندارد', 'چک و چانه زدن', 'تازه به دوران رسیده', 'کلاهش پس معرکه است', 'خویشتن داری']"
استخوان دار,"پزشك كاستروعدي را جراحي مي كند منابع عراقي گفتند جراح خصوصي فيدل كاسترو رهبر كوبا براي انجام عمل جراحي عدي فرزند ارشد صدام حسين به بغداد مي رود
به گزارش خبرگزاري رويتر، اين منابع گفتند دكتر كارديناس و همكار كوبايي اش كه هر دو متخصص جراحي استخوان هستند، به زودي وارد بغداد مي شوند
به گفته منابع عراقي، پزشكان فرانسوي و عراقي گفته اند عدي براي خارج كردن دو گلوله درستون مهره هاي خود نياز به جراحي <<MASKED_IDIOM>>د","['هفت خوان', 'آش دهان سوزی نیست', 'خاک خوردن', 'دندان گرد', 'ریش سفید', 'هول زدن', 'عذر بدتر از گناه', 'فیل هوا کردن', 'چشم وهم چشمی', 'خانه به دوش']"
استخوان دار,"استاندار جدید خراسان جنوبی اظهار کرد: اگر انتقال آب را به جایی برسانیم از این طریق بخش اعظم مشکلات را حل خواهیم کرد چرا که تمام پروژه های ما به نوعی به‌ آب  وابسته است و کشاورزی، معدن، گردشگری، تجارت خارجی، امنیت همه در گرو هم هستند
قناعت با بیان اینکه براساس مطالعاتی که  از معادن خراسان جنوبی داشته ام این استان  معادن خوبی دارد آن گونه که برخی از ماده های معدنی مانند منیزیت و بنتونیت در کشور تنها در خراسان جنوبی است اظهارکرد: یک ظرفیت عالی برای استان است که باید از این ظرفیت معدن بیشتر استفاده و در این راستا  برای استان اعتبارات بیشتری بگذاریم‌
استاندار جدید خراسان جنوبی با اشاره به وجود 40 ماده معدنی در خراسان جنوبی گفت : وجود معادن  می‌تواند بهترین فرصت برای ایجاد اشتغال در استان باشد
قناعت باتاکید براینکه باید از  ظرفیت جوانان نخبه  وشرکت های دانش بنیان در راستای تبدیل نهایی محصولات استخراجی  استفاده کنیم تصریح کرد:وجود مراکز علمی قدیمی و  <<MASKED_IDIOM>> از دیگر ظرفیت‌های خراسان جنوبی دانست دانشگاه بیرجند دانشگاهی قدیمی که می‌تواند در رفع مشکلات، استان را کمک کند
وی ادامه داد: باید بتوانیم با استفاده از ظرفیت مجامع علمی از این شرایط فعلی گذر کرده و شاهد افزایش بهره‌وری وشکوفایی اقتصادی استان  با‌شیم،به عنوان مثال در تولید زعفران رتبه اول و دوم را در کشور داریم که اگر از ظرفیت علمی پژوهشی دانشگاه‌ها استفاده کنیم شاهد افزایش تولید در هکتار بوده در نهایت شاهد صعود افزایش شاخص اقتصادی خواهیم بود
استاندار جدید خراسان جنوبی استفاده از ظرفیت دانشگاه، لزوم فعال کردن بازارچه‌های مرزی ‌را ‌از دیگر موارد مدنظر دانست و گفت: خراسان جنوبی ظرفیت رسانه‌ای زیادی دارد و در این استان جای بگو مگوهای سیاسی نیست و باید فضای همدلی و وفاق ایجاد کنیم تا در دولت سیزدهم با توجه به ظرفیت‌هایی که دارد و فرصت است کار جهشی انجام دهیم
انتهای پیام/254/ش","['صاحب قران', 'کار نشد ندارد', 'باریک بین', 'یقه سفید', 'عقل سالم در بدن سالم', 'ای ول', 'اشک تمساح ریختن', 'یک کلاغ چهل کلاغ', 'خام طمع', 'خر دجال']"
استخوان دار,"مثلا در «نامه ای در باب اومانیسم» میگه «هستی همچنان منتظر است» اما این به این معنی که اندیشه در انتظار گفتگو با کسانی است که هنوز به زبان یونانی اندیشه میکنن و از دیدش فلسفه یونانیان پیشاسقراطی زبان مورد نیاز اندیشیدن برای فراروی از زبان متافیزیک غربه
این یک نگاه فلسفی است که ممکن است برخیها نپذیرند
جناب شیان کار مهمی نکرده فقط ادعایی رو مطرح کرده که معلوم نیست چقدر هایدگرشناسان (غیرمتعصب) بخوان بهش توجه کنن
همانطور که ریچاردسون هم با عنوان یک هایدگرشناس <<MASKED_IDIOM>> با نظریاتش مخالف بوده
امیلی تامس
ترجمه ایمان خدافرد
پاملا دراکرمن","['مضمون ساختن', 'پشت گرمی', 'ثابت قدم', 'سینه چاک', 'کاری کرد کارستان', 'چترباز', 'گنجشک روزی', 'اوشکول', 'توبه گرگ مرگ است', 'پوست کندن']"
استخوان لای زخم,"در این یادداشت به وجه دیگری از این تناقض که ناشی از غلبه رویکرد مردسالار است، اشاره خواهد شد
فرض کنیم که اصلا مساله‌ای به عنوان فدراسیون‌های ورزشی وجود ندارد، در این صورت باز هم باید سیاست منع ورود زنان به ورزشگاه‌ها را تغییر داد
چرا
مساله زنان در ایران فارغ از واکنش‌های بین‌المللی، تبدیل به <<MASKED_IDIOM>> شده است
حدود ۱۵۰ سال است که درگیر این ماجرا هستیم
از یک سو زنان در حال پیشرفت و فتح عرصه‌های جدید اجتماعی هستند، از سوی دیگر مقابله‌های ناهنجار و غیرمعقول با این روند در قالب توجیهات گوناگون ادامه دارد
برخی آقایان غیرمسوولانه در برابر روند طبیعی افزایش حضور زنان در عرصه عمومی مخالفت می‌کنند و از گذشته نیز درس نمی‌گیرند","['کلاف سردرگم', 'دل پر', 'داغ دیدن', 'غر زدن', 'خرده گیر', 'جیره خوار', 'شاخ شدن', 'ضایع کردن', 'اقازاده', 'پااندازی']"
استخوان لای زخم,"عضو کمیسیون امنیت ملی و سیاست خارجی مجلس درباره اینکه آیا دولت منتخب آقای رئیسی مذاکرات را ادامه می‌دهد یا مجلس به آن اجازه چنین کاری را نمی‌دهد، خاطرنشان کرد:‌ مجلس به دولت اجازه می‌دهد اما در چارچوبی که تعیین و ترسیم شده است؛ اگر آمریکایی‌ها واقعا آن شرایطی که جمهوری اسلامی گذاشته است را بپذیرد، چرا مجلس آن را قبول نکند
اما شرط این است که همان چیزی که رهبری گفتند و مطالبه مردم است؛ یعنی به یکباره هرچیزی که عنوان تحریم‌ها دارد، برداشته شود و اگر اینگونه باشد، مذاکرات انجام می‌شود
ما مذاکرات را با این هدف انجام می‌دهیم وگرنه دلیل دیگری برای مذاکره نیست
اگر تحریم‌ها با هر عنوانی که هستند جمع شوند، قطعاً هم مجلس و هم دولت علاقه‌مند است؛ اما اگر بخواهد <<MASKED_IDIOM>> باشد، قطعاً نه
وی درباره اینکه اگر ما نخواهیم مذاکره کنیم چه راهکار دیگری وجود دارد، گفت: ما با یک دشمن واقعی طرف هستیم و او ما را تقسیم‌بندی نمی‌کند که با عده‌ای خوب باشد و با عده‌ای بد؛ اینگونه نیست که اروپایی‌ها و آمریکایی‌ها با بخشی از جامعه مخالف باشند، بلکه آمریکایی‌ها با هر کسی که عنوان ایرانی داشته باشد، مخالف هستند و اصلا مهم نیست که دین و مذهب آنها چیست و به همین دلیل آنها هر روز شیوه‌های دشمنی را مدرن‌تر می‌کنند
احمدی‌بیغش با تاکید بر اینکه ما برای این قصه راهی نداریم جز اینکه روی پای خودمان بایستیم؛ یادآور شد: مرحوم گاندی چگونه زندگی کرد
ما هم باید همینطور باشیم، اگر به سمت زندگی برویم که به خودمان متکی باشیم (با هزاران سختی که دارد) و تحریم‌ها را تحمل کنیم، می‌توانیم","['از پشت خنجر زدن', 'زخم خوردن', 'داغ کردن', 'خط انداختن', 'سنگ انداختن', 'شق القمر', 'دائم الخمر', 'ژست گرفتن', 'پیرهن چاک', 'سگ زرد برادر شغال است']"
استخوان لای زخم,"در چنین نظامی، بسیار قدرتمند است و رسانه‌ها سلاح موثر افکار عمومی هستند
عامل مهم بعدی نهاد نظارتی رسمی برآمده از دل حاکمیت قانون است
اگر رسانه‌ها نقش نظارتی غیر رسمی را عهده‌دار هستند، نظام قضایی مستقل در مقام نهاد نظارتی رسمی است و فصل‌الخطاب است
با بودن چنین نظامی، شاهد <<MASKED_IDIOM>> نخواهیم بود
هر اتهامی به هر کسی یا هر شرکتی زده شود، از دو حال خارج نیست، یا درست است یا نادرست
مرجع قضایی مستقل، وظیفه تعیین این دوگانه را دارد
در چنین ساختاری افراد نمی‌توانند اتهامات کلی بزنند، مردم نمی‌پذیرند و خواهان مصادیق خواهند شد و در نهایت به هر مصداقی رسیدگی و حکم نهایی صادر می‌شود","['کینه شتری', 'سنگ انداختن', 'ایراد بنی اسرائیلی', 'دیوار حاشا بلند است', 'گوشش بدهکار نیست', 'بی عرضه', 'شانه خالی کردن', 'پرت و پلا گفتن', 'بچاپ بچاپ', 'جلوی ضرر را از هر کجا بگیری منفعت است']"
استخوان لای زخم,"اوکراین پس از فروپاشی شوروی، علاوه بر موارد فوق 5000 کلاهک اتمی، بمب افکنهای دوربرد توپولف 22 و 160 و موشکهای قاره پیما هم به ارث برد
اما طبق معاهداتی که غرب و روسیه در آن هماهنگ بودند کلاهک های مذکور به روسیه منتقل و امحا شد و بمب افکن های مذکور هم به روسیه بازگشت
موشک های قاره پیما هم به جز چند استفاده در نقش ماهواره بر از رده عملیاتی خارج شده و از بین برده شد
عوامل و زمینه های پیش گفته از یک سو و آوردهای مختلفی که اوکراین می تواند از نظر اقتصادی و صنعتی و ژئوپولیتیک برای روسیه داشته باشد و نیز موقعیت ضعیف اروپا از نظر نظامی در سالهای اخیر، رشد توان نظامی روسیه در یک دهه اخیر و وابستگی قابل توجه اروپا به انرژی روسیه و ارزیابی تأثیرات این اقدام روی قیمت جهانی نفت و تأثیرات آن روی همه بازیگران جهانی سبب شد تا از نظر مسکو این زمان در زمستان بهترین موقعیت برای یکسره کردن <<MASKED_IDIOM>> در مرزهای غربی خود باشد
روسها یک بار دیگر و در سال 2008 هم نشان دادند که بر سر مسائل سرزمینی آماده ورود به جنگ و درگیری نظامی هستند که این اتفاق در برابر گرجستان و مسائل منطقه آبخازیا رخ داد
تمایل به تغییر نقشه سیاسی در جهان پس از سالها تثبیت شرایط پس از پایان جنگ سرد در ابتدا و صراحتاً توسط آمریکا برای غرب آسیا (خاورمیانه) اعلام شد که با مقاومت ایران و کشورهای منطقه به نتیجه نرسید
روسیه هم به عنوان یک قدرت بزرگ جهانی و نزدیک به کانون تحولات غرب آسیا و اروپا همین مسیر را رفته و با رسیدن به موقعیت زمانی و زمینه های مطلوب از دیدگاه خود اقدام به تغییر در نظامات سیاسی از طریق اعمال قدرت نظامی به نفع خود کرده است","['دندان تیز کردن', 'گرم شدن', 'پاپوش درست کردن', 'یک دست صدا ندارد', 'داغ دیدن', 'سیاه رو', 'صبر ایوب', 'تا نباشد چیزکی مردم نگویند چیزها', 'کو گوش شنوا', 'بچگی کردن']"
استخوان لای زخم,"آقای لاریجانی در این گفتگو تأکید کرده بود که چرا مذاکرات و مذاکره‌کنندگان در دولت آقای رئیسی با دولت آقای روحانی تفاوت می‌کنند و چرا آنچه در دولت فعلی در جریان است معقول‌تر و متناسب‌تر با منافع ملی است
فیلم بخش اول این گفتگو را می‌توانید اینجا ببینید: فیلم کامل بخش دوم را اینجا ببینید: اما در بخش دیگری از همین گفتگو با آقای لاریجانی به‌واسطه سوابق و همچنین سمت فعلی او در پژوهشگاه‌ دانش‌های بنیادی راجع به موضوع تحولات منطقه‌ای و همچنین بیانات رهبر معظم انقلاب درباره خروج نخبگان از کشور صحبت کرده‌ایم
آنچه در ادامه می‌آید مشروح بخش دوم و پایانی این گفتگوست:  تهدیدها کاملاً مشهود است منتهی جالب است که فرصت‌ها هم بسیار زیاد است؛ این با سیاست تأکید منطقه‌ای آقای رئیسی هماهنگ شده و بسیار سیاست درستی هم است، یعنی سرمایه‌گذاری روی فرصت‌ها و مقابله جدی با تهدیدها
آمریکایی‌ها وقتی از افغانستان رفتند، از آنجا که معدن فساد هستند، یک <<MASKED_IDIOM>> هم گذاشتند، جامعه افغانستان یک جامعه زخم‌خورده و ویران است و 2 تحلیل اینجا وجود دارد؛ برخی می­‌گویند داعش مهمترین تهدید برای منطقه است، اما تهدید بزرگتر این است که طالبان برای ادامه حیات خودش به آمریکا برگردد
تمام مسئولین عالی‌رتبه آنها از زندان‌ها درآمدند و دوره‌های منظمی در قطر دیدند و یک ورژن و چهره جدید از خود ترسیم کردند و به‌عقیده من بزرگترین خطری که افغانستان را تهدید می‌کند نبود نیروی انسانی، عدم توانمندی اداره کشور و تفکرات آسیب‌پذیر به‌علت نفوذ جریانات تکفیری رقیق‌شده است، اگر این‌ها به دامن آمریکا بروند، تهدید اصلی خواهد بود و البته در این بازگشت به دامن آمریکا، بیشترین امتیازات را برای داعش و فعالیت­های ضدامنیتی این گروه از لحاظ مالی، سلاح و
تمهید خواهند کرد
افغانستان اکنون در آستانه قحطی است که مسئله بسیار جدی محسوب می‌شود، حال در این شرایط سیاست ایران چه باید باشد","['ماست مالی کردن', 'زیر پای کسی را خالی کردن', 'کینه شتری', 'به نعل و به میخ زدن', 'علاج واقعه قبل از وقوع باید کرد', 'هفت خط بودن', 'خاله زنک', 'سبک پا', 'بادمجان دور قاب چین', 'طبل توخالی']"
استخوان لای زخم,"وی ادامه داد: باید تا دی‌ماه منتظر ماند، چون در توافقی که بین «الکاظمی» نخست‌وزیر عراق و بایدن انجام شده است، بایدن تعهد کرده است ارتش آمریکا تا پایان امسال 2021 عراق را ترک خواهد کرد و فقط نیروهای مستشاری‌شان در حد 4ـ5 هزار نفر برای حفظ سفارت خواهند ماند اما در رزوهای اخیر  ی منتشر شده است که گویا آمریکایی‌ها قصد خارج کردن نیروهایشان از عراق را ندارند
اسداللهی اضافه کرد: آمریکایی‌ها هنوز در تنف حضور دارند ولی حضورشان فعال نیست و به‌نظر نمی‌آید که قصد رفتن داشته باشند، آن‌جا هم خارج از حاکمیت دولت سوریه است
حمله پهپادی یک ماه قبل به منطقه تنف، انعکاس وسیعی در سوریه و خارج از آن داشته است و آمریکایی‌ها اعلام کردند که این حمله توسط نیروهای سپاه در سوریه انجام شده است
این کارشناس مسائل منطقه‌ای گفت: روس‌ها هم در آن موقع در «درعا» سعی کردند با مصالحه سیاسی مشکل را حل کنند و عملاً یک <<MASKED_IDIOM>> باقی مانده است و مسلحینی که طبق مصالحه باقی مانده بودند، به عملیات‌های ضدامنیتی، ترور، ربایش و بمب‌گذاری رو آوردند و و درعا را مدتی بسیار ناامن کردند و ارتش سوریه یکی ـ دو ماه قبل مجبور شد عملیات کند و فشار سنگینی به‌روی مسلحین گذاشت و توافق جدیدی شکل گرفت که دیگر دست به سلاح نبرند و از آن موقع تا الآن خبر جدیدی نیست و خدا می‌داند که چه‌زمانی این توافق نقض بشود
اسداللهی در ادامه سخنان خود در پاسخ به این سؤال که «بعد از این‌همه سال جنگیدن و مجاهدت‌ها، آیا حکومت مرکزی در سوریه مسلط است یا نه
» عنوان کرد: اگر مقطع اوج بحران را که تقریباً قسمت عمده‌ خاک سوریه به دست مسلحین افتاد با الآن مقایسه کنیم، الآن وضع خیلی خوب است
در غرب فرات که سرزمین اصلی سوریه است، الآن قسمت اعظم در دست دولت است","['نوش دارو پس از مرگ سهراب', 'پشت گوش انداختن', 'خانه خراب', 'عطایش را به لقایش بخشید', 'میان بسته', 'فضا رفتن', 'مثل جن و بسم الله', 'نمردیم و دیدیم', 'کور خواندن', 'داف بازی']"
استخوان لای زخم,"شاید دردِ طردشدن نیز در همان زمان تکامل یافت، درست همانند دردِ جسمانی و همچون نشانهای برای در معرض تهدید بودن زندگی
شاید طبیعت، با استفاده از میانبری هوشمندانه، بهسادگی سازوکار موجود برای درد جسمانی را «قرض گرفت» تا دیگر سازوکاری جدید به وجود نیاورد
همین موضوع توضیح میدهد چرا در مغز ما استخوان شکسته و قلب شکسته تا این اندازه به یکدیگر پیوند خوردهاند
آنچه دربارۀ چنین ارتباطی اهمیت دارد این است که چگونه حتی اتفاقات پیشپاافتاده نیز میتوانند، به قول پژوهشگران، «<<MASKED_IDIOM>>» شوند
در آزمایش سایبربال، طردشدن توسط افرادی که نمیشناسید، و حتی نمیتوانید ببینیدشان، کافی است تا ماشۀ دردی باستانی را بکشد که مسئول زنده نگاهداشتن شماست
دیدن ویدئوی چهرههای ناخرسند نیز، بهسادگی، همان تأثیر را دارد
اما دربارۀ آن ضربات سنگینی که بر احساس تعلق ما وارد میشوند چه میتوان گفت","['زخم خوردن', 'زوار در رفته', 'یکه خوردن', 'کف رفتن', 'حرص و جوش', 'پیراهن عثمان کردن', 'پاچه خوار', 'به رخ کشیدن', 'یک تیر و دو نشان', 'زیر پای کسی را خالی کردن']"
استخوان لای زخم گذاشتن,"جدیدی گفت: برخی املاک انتفاعی به ادارات مختلف، یتیم خانه ها و سایر نهاد ها واگذار شده و به واحدهای تجاری تبدیل شده اند
عضو شورای شهر تهران با تاکید بر ضرورت پاسخگویی شورا به مردم گفت: آیا شورای شهر کارخانه تولید مصوبه شده و به سیلوی تلمبار کردن مصوبات تبدیل شده است
وی گفت: باید موضوع گزارش دهی را همه جدی بگیرند و اعضا و شهردار به مردم گزارش دهند
وی در ادامه با بیان اینکه <<MASKED_IDIOM>> ها با گزارش دهی به مردم رفع می شود
گفت: میدان شورا میدان جهاد است
جدیدی در ادامه انتخاب دولت روحانی را تبریک گفت و با آرزوی موفقیت برای دولت افزود: دولت در برابر وعده های انتخاباتی که مانند چک سفید امضا است، مسئول است
وی افزود: اگر این چک ها برگشت بخورد نمی توان دیگر اعتماد مردم را جمع کرد","['دل پر', 'اشک تمساح ریختن', 'حرص و جوش', 'علاج واقعه قبل از وقوع باید کرد', 'داغان کردن', 'بز اخفش', 'ریش سفید', 'چای شیرین', 'لاف زدن', 'قشقرق به پا کردن']"
استراق سمع,"دادستان کل اسرائیل دستور بررسی مساله <<MASKED_IDIOM>> بدون مجوز با استفاده از جاسوس‌افزار پگاسوس توسط پلیس را صادر کرد
به گزارش ایسنا؛ آویخای مندلبلیت، دادستان کل اسرائیل در روز سه‌شنبه دستور داد تا یک تیم درخصوص مساله استراق سمع پلیس از شهروندان این کشور با استفاده از برنامه پگاسوس تحقیقات انجام دهد
آمیت میری، معاون دادستان کل اسرائیل رهبری این تیم را برعهده خواهد گرفت
روزنامه کاتالیت دو هفته پیش گزارش داد که پلیس اسرائیل از طریق برنامه پگاسوس به استراق سمع از شهروندان اسرائیلی و تلفن‌های شهرداران پرداخته است","['پارازیت', 'آنتن دادن', 'انگشت نما', 'بازی دادن', 'زبان اور', 'جن زده', 'اتو زدن', 'کاچی بهتر از هیچی است', 'هفت خوان', 'به خاک سیاه نشستن']"
استراق سمع,"در گزارش جدید که در اختیار چند سازمان خبری اروپایی قرار گرفته است، سازمان امنیت ملی آمریکا اطلاعات مربوط به پیامک های تلفن همراه و مکالمات تلفنی مقام های ارشد اروپایی را گردآوری کرده است
جاسوسی ایالات متحده از متحدان اروپایی خود توسط آژانس امنیت ملی آمریکا (NSA) پیشتر در سال ۲۰۱۳ آشکار شده بود
اما اولین بار است که روزنامه‌نگاران به گزارش‌های درباره جزئیات نقش سرویس اطلاعاتی وزارت دفاع دانمارک در این رخداد دست پیدا می‌کنند
در سال 2013 و در زمان ریاست  جمهوری ""باراک اوباما"" کاخ سفید بدون تایید یا رد این خبر اعلام کرد در حال <<MASKED_IDIOM>> از مرکل نیست و این کار در آینده هم صورت نخواهد گرفت
منابع مخفی اطلاعاتی، جزئیات تازه را در اختیار تیمی متشکل از چندین رسانه شاخص اروپایی از جمله ""لوموند"" فرانسه و ""زوددویچه تسایتونگ"" آلمان گذاشته‌اند
به گزارش رسانه‌های اروپایی، دولت دانمارک حداقل از سال ۲۰۱۵ خبر داشته است که سرویس مخفی این کشور در رسوایی جاسوسی آمریکا از سران اروپا همکاری داشته است
دولت دانمارک پس از افشاگری ""ادوارد اسنودن"" کارمند سابق آژانس امنیت ملی آمریکا به این موضوع پی برد","['سوتی دادن', 'دود از کنده بلند می شود', 'زیر پای کسی را خالی کردن', 'چراغ سبز نشان دادن', 'جواب پس دادن', 'غلام حلقه به گوش', 'نان به نرخ روز خوردن', 'بال در آوردن', 'هر چه از دوست رسد نیکوست', 'قشقرق به پا کردن']"
استراق سمع,"بر این اساس، وزارت دفاع و مدیریت اطلاعات ملی آمریکا در ابتدا با این اقدام مخالف بودند ولی با بالا گرفتن تنش ها در سال ۲۰۱۹ طراحی برای ترور فرمانده نیروی قدس سپاه جدی تر شد
با کشته شدن یک شهروند آمریکایی در حملات خمپاره به شمال عراق در دسامبر ۲۰۱۹، طرح ترور سردار سلیمانی به میز دونالد ترامپ فرستاده شد
با این حال عملیات اطلاعاتی برای رصد فعالیت های سردار سلیمانی از مدت ها قبل در جریان بوده است
یاهونیوز در گزارش خود به یکی از عملیات اطلاعاتی برای <<MASKED_IDIOM>> از قاسم سلیمانی اشاره کرده است
بر این اساس، نیروهای اطلاعاتی اسراییل به آمریکا اطلاع داده بودند که یک مامور خرید ایرانی قصد دارد تعدادی گوشی همراه پیشرفته برای فرماندهان نیروی قدس خریداری کند
آمریکایی ها با شناسایی این مامور خرید متوجه می شوند که او قصد دارد این گوشی ها را از یک کشور عربی خلیج فارس خریداری کند
آنها با استفاده از اطلاعات به دست آمده در شبکه فروش نفوذ می کنند و تعدادی گوشی آلوده به نرم افزار استراق سمع را به مامور ایرانی می فروشند","['عسس مرا بگیر', 'رد گم کردن', 'ماست مالی کردن', 'پیچاندن', 'از پشت خنجر زدن', 'جور استاد به ز مهر پدر', 'یک دست صدا ندارد', 'فیل هوا کردن', 'پیل افکن', 'خنده بر هر درد بی درمان دواست']"
