proverb,normalized,source,tokens
جواب ابلهان خاموشیست,جواب ابله خاموشیست,dyanati_proverb,"['جواب', 'ابله', 'خاموشی', '##ست']"
جایی نمی رود که آبرویش رود,جایی رفت#رو که ابرو رود,dyanati_proverb,"['جایی', 'رفت', '[UNK]', 'رو', 'که', 'ابرو', 'رود']"
جواب دندان شکن,جواب دندان‌شکن,dyanati_proverb,"['جواب', 'دندانشکن']"
جنگل مولاست,جنگل مولاست,dyanati_proverb,"['جنگل', 'مولا', '##ست']"
جور استاد به زمهر پدر,جور استاد به زمهر پدر,dyanati_proverb,"['جور', 'استاد', 'به', 'زمهر', 'پدر']"
جنگ دو سر دارد,جنگ دو سر داشت#دار,dyanati_proverb,"['جنگ', 'دو', 'سر', 'داشت', '[UNK]', 'دار']"
جان کسی را به لب آوردن,جان کسی را به لب اوردن,dyanati_proverb,"['جان', 'کسی', 'را', 'به', 'لب', 'اوردن']"
جاتره بچه نیست,جاتره بچه نیست,dyanati_proverb,"['جات', '##ره', 'بچه', 'نیست']"
جنسش شیشه خورده دارد,جنس شیشه خورده داشت#دار,dyanati_proverb,"['جنس', 'شیشه', 'خورده', 'داشت', '[UNK]', 'دار']"
جای که نمک خوردی نمکدان مشکن,جای که نمک خورد#خور نمکدان مشکن,dyanati_proverb,"['جای', 'که', 'نمک', 'خورد', '[UNK]', 'خور', 'نمکدان', 'مشک', '##ن']"
جهان ای برادر نماند به کس دل اندر جهان آفرین بند و بس,جهان برادر ماند#مان به کس دل اندر جهان‌افرین بند و بس,dyanati_proverb,"['جهان', 'برادر', 'ماند', '[UNK]', 'مان', 'به', 'کس', 'دل', 'اندر', 'جهان', '##افرین', 'بند', 'و', 'بس']"
جلز ولز کردن,جلز ولز کردن,dyanati_proverb,"['جل', '##ز', 'ولز', 'کردن']"
جوانمردی که بخورد و بدهد به از عابری که نخورد و بنهد,جوانمردی که خورد#خور و داد#ده به از عابری که خورد#خور و نهاد#نه,dyanati_proverb,"['جوانمردی', 'که', 'خورد', '[UNK]', 'خور', 'و', 'داد', '[UNK]', 'ده', 'به', 'از', 'عابری', 'که', 'خورد', '[UNK]', 'خور', 'و', 'نهاد', '[UNK]', 'نه']"
چو فردا شد فکر فردا کنیم,چو فردا شد#شو فکر فردا کرد#کن,dyanati_proverb,"['چو', 'فردا', 'شد', '[UNK]', 'شو', 'فکر', 'فردا', 'کرد', '[UNK]', 'کن']"
چشمش شور است,چشمش شور است,dyanati_proverb,"['چشمش', 'شور', 'است']"
چند تا پیراهن بیشتر پاره کرده,چند تا پیراهن بیشتر پاره کرده,dyanati_proverb,"['چند', 'تا', 'پیراهن', 'بیشتر', 'پاره', 'کرده']"
چغندر به هرات زیره به کرمون,چغندر به هرات زیره به کرمون,dyanati_proverb,"['چغندر', 'به', 'هرات', 'زیره', 'به', 'کرم', '##ون']"
چاقو دسته خودش را نمی بره,چاقو دسته خودش را نمی‌بره,dyanati_proverb,"['چاقو', 'دسته', 'خودش', 'را', 'نمیبر', '##ه']"
چانه اش گرم شد,چانه گرم شد#شو,dyanati_proverb,"['چانه', 'گرم', 'شد', '[UNK]', 'شو']"
چیزی بارش نیست,چیزی بارش نیست,dyanati_proverb,"['چیزی', 'بارش', 'نیست']"
چیزی که از خدا پنهان نیست از بنده چه پنهان,چیزی که از خدا پنهان نیست از بنده چه پنهان,dyanati_proverb,"['چیزی', 'که', 'از', 'خدا', 'پنهان', 'نیست', 'از', 'بنده', 'چه', 'پنهان']"
چیزی در چنته نداشتن,چیزی در چنته نداشتن,dyanati_proverb,"['چیزی', 'در', 'چنته', 'نداشتن']"
چشمش آلبالو گیلاس می چینه,چشمش البالو گیلاس می‌چینه,dyanati_proverb,"['چشمش', 'البالو', 'گیلاس', 'میچین', '##ه']"
چوب دوسر نجس,چوب دوسر نجس,dyanati_proverb,"['چوب', 'دوسر', 'نجس']"
چوب به لانه زنبور کردن,چوب به لانه زنبور کردن,dyanati_proverb,"['چوب', 'به', 'لانه', 'زنبور', 'کردن']"
حق کسی را کف دستش گذاشتن,حق کسی را کف دستش گذاشت#گذار,dyanati_proverb,"['حق', 'کسی', 'را', 'کف', 'دستش', 'گذاشت', '[UNK]', 'گذار']"
حلزون خود را به جمع شاخدارها می کند,حلزون خود را به جمع شاخدار کرد#کن,dyanati_proverb,"['حلزون', 'خود', 'را', 'به', 'جمع', 'شاخدار', 'کرد', '[UNK]', 'کن']"
حرفهای گنده تر از دهنش میزنه,حرفهای گنده‌تر از دهنش میزنه,dyanati_proverb,"['حرفهای', 'گنده', '##تر', 'از', 'دهنش', 'میزنه']"
حالا که ماست نشد شیر بده,حالا که ماست شد#شو شیر بده,dyanati_proverb,"['حالا', 'که', 'ماست', 'شد', '[UNK]', 'شو', 'شیر', 'بده']"
حسود از نعمت حق بخیل است و بنده بی گناه را دشمن می داند,حسود از نعمت حق بخیل است و بنده بی‌گناه را دشمن دانست#دان,dyanati_proverb,"['حسود', 'از', 'نعمت', 'حق', 'بخیل', 'است', 'و', 'بنده', 'بیگناه', 'را', 'دشمن', 'دانست', '[UNK]', 'دان']"
حاجی، حاجی را در مکه می بیند,حاجی حاجی را در مکه دید#بین,dyanati_proverb,"['حاجی', 'حاجی', 'را', 'در', 'مکه', 'دید', '[UNK]', 'بین']"
حال درماندگان کسی داند که به اصول خویش درماند,حال درماندگان کسی دانست#دان که به اصول خویش درماند,dyanati_proverb,"['حال', 'درماندگان', 'کسی', 'دانست', '[UNK]', 'دان', 'که', 'به', 'اصول', 'خویش', 'درماند']"
حادثه خبر نمی کند,حادثه خبر کرد#کن,dyanati_proverb,"['حادثه', 'خبر', 'کرد', '[UNK]', 'کن']"
حلوا حلوا دهن شیرین نمیشه,حلوا حلوا دهن شیرین نمیشه,dyanati_proverb,"['حلوا', 'حلوا', 'دهن', 'شیرین', 'نمیشه']"
حرف حساب جواب نداره,حرف حساب جواب نداره,dyanati_proverb,"['حرف', 'حساب', 'جواب', 'نداره']"
خدا نجار نیست اما درو تخته را خوب به هم می اندازد,خدا نجار نیست اما درو تخته را خوب به هم انداخت#انداز,dyanati_proverb,"['خدا', 'نجار', 'نیست', 'اما', 'درو', 'تخته', 'را', 'خوب', 'به', 'هم', 'انداخت', '[UNK]', 'انداز']"
خرس را به رقص آوردیم دمش را به دست آوردیم,خرس را به رقص اورد دمش را به دست اورد,dyanati_proverb,"['خرس', 'را', 'به', 'رقص', 'اورد', 'دمش', 'را', 'به', 'دست', 'اورد']"
خدا از دهنت بشنوه,خدا از دهنت بشنوه,dyanati_proverb,"['خدا', 'از', 'دهن', '##ت', 'بشنو', '##ه']"
خروس بی محل بودن,خروس بی‌محل بودن,dyanati_proverb,"['خروس', 'بیمحل', 'بودن']"
خواب زن چپ می زند,خواب زن چپ زد#زن,dyanati_proverb,"['خواب', 'زن', 'چپ', 'زد', '[UNK]', 'زن']"
خاله زنک بازی در آوردن,خاله‌زنک بازی در اوردن,dyanati_proverb,"['خاله', '##زن', '##ک', 'بازی', 'در', 'اوردن']"
خر تو خر بودن,خر تو خر بودن,dyanati_proverb,"['خر', 'تو', 'خر', 'بودن']"
دیگ به دیگ می گه روت سیاه,دیگ به دیگ می‌گه روت سیاه,dyanati_proverb,"['دیگ', 'به', 'دیگ', 'میگه', 'روت', 'سیاه']"
در دوازه رومیشه بست ولی در دهان مردم را نمی شود بست,در دوازه رومیشه بست#بند ولی در دهان مردم را شد#شو بست#بند,dyanati_proverb,"['در', 'دوازه', 'رومی', '##شه', 'بست', '[UNK]', 'بند', 'ولی', 'در', 'دهان', 'مردم', 'را', 'شد', '[UNK]', 'شو', 'بست', '[UNK]', 'بند']"
دشمن دانا به از دوست نادان,دشمن دانا به از دوست نادان,dyanati_proverb,"['دشمن', 'دانا', 'به', 'از', 'دوست', 'نادان']"
دودوتا چهارتا,دودوتا چهارتا,dyanati_proverb,"['دودو', '##تا', 'چهارتا']"
در جنگ نان و حلوا تقسیم نمی کنند,در جنگ نان و حلوا تقسیم کرد#کن,dyanati_proverb,"['در', 'جنگ', 'نان', 'و', 'حلوا', 'تقسیم', 'کرد', '[UNK]', 'کن']"
درخت هرچه بارش بیشتر می شود سر فروتر می رود,درخت هرچه بارش بیشتر شد#شو سر فروتر رفت#رو,dyanati_proverb,"['درخت', 'هرچه', 'بارش', 'بیشتر', 'شد', '[UNK]', 'شو', 'سر', 'فروتر', 'رفت', '[UNK]', 'رو']"
دود از کنده بلند میشه,دود از کنده بلند میشه,dyanati_proverb,"['دود', 'از', 'کنده', 'بلند', 'میشه']"
دشمن آن به که نیکی بینند,دشمن ان به که نیکی دید#بین,dyanati_proverb,"['دشمن', 'ان', 'به', 'که', 'نیکی', 'دید', '[UNK]', 'بین']"
داشتم فایده نداره از داریم بگو,داشت#دار فایده نداره از داشت#دار بگو,dyanati_proverb,"['داشت', '[UNK]', 'دار', 'فایده', 'نداره', 'از', 'داشت', '[UNK]', 'دار', 'بگو']"
ریگ تو کفششه,ریگ تو کفششه,dyanati_proverb,"['ریگ', 'تو', 'کفشش', '##ه']"
روزه ی کله گنجشکی گرفتن,روزه کله گنجشکی گرفتن,dyanati_proverb,"['روزه', 'کله', 'گنجشک', '##ی', 'گرفتن']"
رفتم ثواب کنم کباب شدم,رفت#رو ثواب کرد#کن کباب شد#شو,dyanati_proverb,"['رفت', '[UNK]', 'رو', 'ثواب', 'کرد', '[UNK]', 'کن', 'کباب', 'شد', '[UNK]', 'شو']"
روزگار کسی را سیاه کردن,روزگار کسی را سیاه کردن,dyanati_proverb,"['روزگار', 'کسی', 'را', 'سیاه', 'کردن']"
رنگش مثل گچ سفید شد,رنگ مثل گچ سفید شد#شو,dyanati_proverb,"['رنگ', 'مثل', 'گچ', 'سفید', 'شد', '[UNK]', 'شو']"
روزه خوردنش را دیده ایم نماز کردنش را ندیده ایم,روزه خوردن را دید#بین نماز کردن را دید#بین,dyanati_proverb,"['روزه', 'خوردن', 'را', 'دید', '[UNK]', 'بین', 'نماز', 'کردن', 'را', 'دید', '[UNK]', 'بین']"
روده تنگ به یک نان تهی پر گردد نعمت روی زمین پر نکند و بهره ننگ,روده تنگ به یک نان تهی پر گشت#گرد نعمت روی زمین پر کرد#کن و بهره ننگ,dyanati_proverb,"['روده', 'تنگ', 'به', 'یک', 'نان', 'تهی', 'پر', 'گشت', '[UNK]', 'گرد', 'نعمت', 'روی', 'زمین', 'پر', 'کرد', '[UNK]', 'کن', 'و', 'بهره', 'ننگ']"
ریش خود را در آسیاب سفید کرده,ریش خود را در اسیاب سفید کرده,dyanati_proverb,"['ریش', 'خود', 'را', 'در', 'اسیاب', 'سفید', 'کرده']"
رفتن و نشستن به که دویدن و گسستن,رفتن و نشستن به که دوید#دو و گسستن,dyanati_proverb,"['رفتن', 'و', 'نشستن', 'به', 'که', 'دوید', '[UNK]', 'دو', 'و', 'گسستن']"
ریش در دست دیگران داشتن,ریش در دست دیگران داشتن,dyanati_proverb,"['ریش', 'در', 'دست', 'دیگران', 'داشتن']"
ریش و قیچی هر دو را به دست داشتن,ریش و قیچی هر دو را به دست داشتن,dyanati_proverb,"['ریش', 'و', 'قیچی', 'هر', 'دو', 'را', 'به', 'دست', 'داشتن']"
رگ خواب کسی را به دست آورن,رگ خواب کسی را به دست اورن,dyanati_proverb,"['رگ', 'خواب', 'کسی', 'را', 'به', 'دست', 'اورن']"
رفت که ریش در بیاورد، سبیلش را هم باخت,رفت#رو که ریش در بیاورد سبیلش را هم باخت#باز,dyanati_proverb,"['رفت', '[UNK]', 'رو', 'که', 'ریش', 'در', 'بیاورد', 'سبیل', '##ش', 'را', 'هم', 'باخت', '[UNK]', 'باز']"
روی کسی را سفید کردن,روی کسی را سفید کردن,dyanati_proverb,"['روی', 'کسی', 'را', 'سفید', 'کردن']"
زدیم و نگرفت,زد#زن و گرفت#گیر,dyanati_proverb,"['زد', '[UNK]', 'زن', 'و', 'گرفت', '[UNK]', 'گیر']"
زبانم مو در آورد,زبانم مو در اورد,dyanati_proverb,"['زبانم', 'مو', 'در', 'اورد']"
زن نانجیب گرفتن آسان و نگه داشتن او مشکل,زن نانجیب گرفتن اسان و نگه‌داشتن او مشکل,dyanati_proverb,"['زن', 'نان', '##جیب', 'گرفتن', 'اسان', 'و', 'نگهداشتن', 'او', 'مشکل']"
زیر آب کسی را زدن,زیر اب کسی را زدن,dyanati_proverb,"['زیر', 'اب', 'کسی', 'را', 'زدن']"
زمین دهان باز کرد و مرا در خود فرو برد,زمین دهان باز کرد#کن و مرا در خود فرو برد,dyanati_proverb,"['زمین', 'دهان', 'باز', 'کرد', '[UNK]', 'کن', 'و', 'مرا', 'در', 'خود', 'فرو', 'برد']"
زردآلو را می خورد برای هسته اش,زردالو را خورد#خور برای هسته,dyanati_proverb,"['زردالو', 'را', 'خورد', '[UNK]', 'خور', 'برای', 'هسته']"
زن به در سرای مرد نکو هم درین عالم است دوزخ او,زن به در سرود#سرا مرد نکو هم درین عالم است دوزخ او,dyanati_proverb,"['زن', 'به', 'در', 'سرود', '[UNK]', 'سرا', 'مرد', 'نکو', 'هم', 'درین', 'عالم', 'است', 'دوزخ', 'او']"
زیر اندازش زمین است و رواندازش آسمان,زیر انداز زمین است و روانداز اسمان,dyanati_proverb,"['زیر', 'انداز', 'زمین', 'است', 'و', 'روانداز', 'اسمان']"
زیر رنج بود گنج های پنهانی,زیر رنج بود#است گنج پنهانی,dyanati_proverb,"['زیر', 'رنج', 'بود', '[UNK]', 'است', 'گنج', 'پنهانی']"
سری که درد نمی کند دستمال نمی بندند,سری که درد کرد#کن دستمال بست#بند,dyanati_proverb,"['سری', 'که', 'درد', 'کرد', '[UNK]', 'کن', 'دستمال', 'بست', '[UNK]', 'بند']"
سیب دو نیمه,سیب دو نیمه,dyanati_proverb,"['سیب', 'دو', 'نیمه']"
سر پل خر بگیری,سر پل خر گرفت#گیر,dyanati_proverb,"['سر', 'پل', 'خر', 'گرفت', '[UNK]', 'گیر']"
سرش به تنش زیادی کرده است,سرش به تنش زیادی کرد#کن,dyanati_proverb,"['سرش', 'به', 'تنش', 'زیادی', 'کرد', '[UNK]', 'کن']"
سکوت نشانه ی رضایت است,سکوت نشانه رضایت است,dyanati_proverb,"['سکوت', 'نشانه', 'رضایت', 'است']"
سرد و گرم روزگار و چشیدن,سرد و گرم روزگار و چشیدن,dyanati_proverb,"['سرد', 'و', 'گرم', 'روزگار', 'و', 'چشیدن']"
سرش به تنش می ارزد,سرش به تنش ارزید#ارز,dyanati_proverb,"['سرش', 'به', 'تنش', 'ارزی', '##د', '[UNK]', 'ارز']"
سبیلش را چرب کردن,سبیلش را چرب کردن,dyanati_proverb,"['سبیل', '##ش', 'را', 'چرب', 'کردن']"
سر کسی را گرم کردن,سر کسی را گرم کردن,dyanati_proverb,"['سر', 'کسی', 'را', 'گرم', 'کردن']"
سیر به پیاز میگه پیف پیف چقدر بو میدی,سیر به پیاز میگه پیف پیف چقدر بو میدی,dyanati_proverb,"['سیر', 'به', 'پیاز', 'میگه', 'پی', '##ف', 'پی', '##ف', 'چقدر', 'بو', 'میدی']"
سرکه ی مفت شیرین تر از عسل است,سرکه مفت شیرین از عسل است,dyanati_proverb,"['سرکه', 'مفت', 'شیرین', 'از', 'عسل', 'است']"
سه چیز پایداری نماند مال بی تجارت و علم بی بحث و ملک بی سیاست,سه چیز پایداری ماند#مان مال بی تجارت و علم بی بحث و ملک بی‌سیاست,dyanati_proverb,"['سه', 'چیز', 'پایداری', 'ماند', '[UNK]', 'مان', 'مال', 'بی', 'تجارت', 'و', 'علم', 'بی', 'بحث', 'و', 'ملک', 'بیسی', '##است']"
سخن را سر است ای خردمند و بن میاور سخن در میان سخن,سخن را سر است خردمند و بن میاور سخن در میان سخن,dyanati_proverb,"['سخن', 'را', 'سر', 'است', 'خردمند', 'و', 'بن', 'میاور', 'سخن', 'در', 'میان', 'سخن']"
سر و گوش آب دادن,سر و گوش اب دادن,dyanati_proverb,"['سر', 'و', 'گوش', 'اب', 'دادن']"
شتر در خواب بیند پنبه دانه ؟,شتر در خواب دید#بین پنبه‌دانه,dyanati_proverb,"['شتر', 'در', 'خواب', 'دید', '[UNK]', 'بین', 'پنبه', '##دانه']"
شب آبستن است تا چه زاید سحر,شب ابستن است تا چه زاد#زای سحر,dyanati_proverb,"['شب', 'ابستن', 'است', 'تا', 'چه', 'زاد', '[UNK]', 'زای', 'سحر']"
شتر سواری دوال دوال نمی شود,شتر سواری دوال دوال شد#شو,dyanati_proverb,"['شتر', 'سواری', 'دوال', 'دوال', 'شد', '[UNK]', 'شو']"
شاهنامه آخرش خوش است,شاهنامه اخر خوش است,dyanati_proverb,"['شاهنامه', 'اخر', 'خوش', 'است']"
شتری که در خانه ی همه را می زند,شتری که در خانه همه را زد#زن,dyanati_proverb,"['شتری', 'که', 'در', 'خانه', 'همه', 'را', 'زد', '[UNK]', 'زن']"
