idiom,label,source,meaning
بیچاک دهن,Negative,paarsadab_proverb,بد دهن، کسی که همیشه دهانش به فحش و بد و بیراه باز باشد.
بیچشم و رو,Negative,paarsadab_proverb,نمکنشناس وقدرنشناس.
پول بده سر سبیل شاه نقاره بزن,Negative,paarsadab_proverb,اشاره به مبالغه آمیز به قدرت و کارآمدی پول و یا همچنین رشوه در پیشبرد کارها.
تخم نا بسم الله,Negative,paarsadab_proverb,اشاره به بچه یا آدم شرور و شیطان و پر آزار.
تنش میخاره,Negative,paarsadab_proverb,اشاره به کسی که هوس کتک خوردن کرده باشد.
تو زرد درآمد,Negative,paarsadab_proverb,طرف مورد نظر بی لیاقت و ناجور و بدرد نخور از آب در آمد.
توی پاچه کسی کردن,Negative,paarsadab_proverb,گول زدن و مغبون ساختن کسی در معامله.
جوانها در قفس، پیران در هوسند,Negative,paarsadab_proverb,معروف است که پسرها بیشتر از جوانها سر وگوششان می جنبد.
چپ میره راست میاد,Negative,paarsadab_proverb,کار یا حرف ناراحت کنندهای را مدام تکرار کردن مثل: گله، بهانه گیری، توقع بیجا، منت گذاشتن و غیره.
چشم و دل سیر,Positive,paarsadab_proverb,نسبت به مال یا خوردن بیتفاوت بودن و طبع بلند داشتن.
چشم و گوش بسته,Negative,paarsadab_proverb,کسی که از حقایق امور آگاه نیست و چیزی نمیداند.
چشمها را درویش کردن,Positive,paarsadab_proverb,نظر ناپاک نداشتن، چشم روی چیزی یا کاری بستن و دیده را نادیده کردن.
خار شدن و در چشم کسی فرو رفتن,Negative,paarsadab_proverb,مزاحم پیشرفت و خوشی کسی شدن.
خدا عاقبتش را بخیر کند,Positive,paarsadab_proverb,انشالله سرانجام کارش به خیر و خوبی پایان پذیرد.
دیر اومدی زود میخوای بری,Negative,paarsadab_proverb,به تازه کار و تازه واردی که برای رسیدن به هدف و موقعیت مطلوب عجله داشته باشد و بخواهد خیلی سریع به  مدارج بالا برسد.
زن بال است، انشالله هیچ خانه ای بی بال نباشد,Positive,paarsadab_proverb,عقیده مردها نسبت به زن و اینکه هر خانه ای با وجود زن صفا و روشنایی و رونق دارد.
آش دهان سوزی نیست,Negative,dyanati_proverb,بسیار مطلوب و محبوب نیست .
آتیش زده به مالش,Negative,dyanati_proverb,هر چی داشته بخشیده.
آب برو، نان برو تو هم به دنبالش برو,Negative,dyanati_proverb,جمله ی توهین آمیزی است.
آب از دریا بخشیدن,Negative,dyanati_proverb,از مال دیگران بخشیدن و منت نهادن .
آفتاب عمرش لب بومه,Negative,dyanati_proverb,چیزی به مرگش نمانده.
آنروز که آواز بود فکر زمستانت هم بود,Negative,dyanati_proverb,به فکر آینده نبودن.
اسب تازی گر ضعیف بود همچنان از طویله ی خر,Negative,dyanati_proverb,به انتقاد از بی اهمیت ها.
ای که پنجاه رفت و در خوابی مگر این پنج روز را دریابی,Positive,dyanati_proverb,استفاده از اندک فرصت مانده.
آسمان و ریسمان را سر هم بافتن,Negative,dyanati_proverb,دو چیز بی تناسب را به هم ارتباط دادن، نامربوط گفتن.
آب از سر گذشتن,Negative,dyanati_proverb,امید نداشتن، به پایان آمدن امری .
بزک نمیر بهار میاد، خربزه با خیار میاد,Negative,dyanati_proverb,به کسی وعده های دورو دراز دادن .
برای لای جرز دیوار خوبه,Negative,dyanati_proverb,خیلی بی مصرف است.
به دعای گربه ی سیاه، بارون نمی باره,Negative,dyanati_proverb,خشم خدا نسبت به افراد بدکار .
با یه من عسل هم نمی شود خوردش,Negative,dyanati_proverb,بد اخلاق بودن .
با یک تیر و دو نشون زدن,Positive,dyanati_proverb,با انجام یک کار به چند نتیجه عالی رسیدن.
بزرگی به عقل است نه به سال,Positive,dyanati_proverb,در تقابل بین کارها و سخنان خردمندانه ی خردسال با سخنان و کارهای نابخردانه ی بزرگسال  گفته می شود.
با هر دست که دادی پس می گیری,Positive,dyanati_proverb,پاداش حتمی در مقابل هر خوبی.
به نطق آدمی بهتر است از دواب، دواب از تو به گر نگویی صواب,Positive,dyanati_proverb,استفاده از سخنان خوب در حرف زدن .
با پولها کباب بی پولها دود کباب,Negative,dyanati_proverb,شخص ثروتمند از مواهب زندگی استفاده می کند و بینوا می بیند و حسرت می کشد .
به تنبل گفتند برو سایه گفت سایه خودش می آید,Negative,dyanati_proverb,از تنبلی زیاد .
به دریا برود دریا خشک می شود,Negative,dyanati_proverb,در باره ی افراد بی طالع و بی اقبال گویند .
پا به دریا بگذاره دریا خشک می شود,Negative,dyanati_proverb,بد شانس است.
پنجه با شیر انداختن و مشت با شمشیر زدن کار خردمندان نیست,Negative,dyanati_proverb,کار خطرناک کردن کار انسانهای عاقل نیست. .6 پی تقدیر رفتن از کوری است : در نکوهش سستی و تنبلی و یا استفاده نکردن از عقل و فکر خود .
پول که زیاد شد خانه تنگ می شود و زن زشت,Negative,dyanati_proverb,ثروت زیاد، انسان را به سرگرمی های ناپسند وا می دارد.
پشم در کلاه نداشتن,Negative,dyanati_proverb,بی مایه بودن .
پرتو نیکان نگیرد هر که بنیادش بد است,Negative,dyanati_proverb,تربیت نااهل را چون گردکان بر گنبد است .
پیاده شو باهم راه بریم,Negative,dyanati_proverb,در مورد کسی که خیلی مغرور و متکبر شده است.
پا از گلیم بیرون بردن,Negative,dyanati_proverb,توجه به حد وحدود خود نکردن.
پدرکشی داشتن با کسی,Negative,dyanati_proverb,دشمنی سختی با کسی داشتن .
پشت کسی را به خاک مالیدن,Negative,dyanati_proverb,او را شکست دادن .
تا تریاق از عراق آرند مار گزیده مرده باشد,Negative,dyanati_proverb,به تاخیر انداختن کاری که اهمیت فوری و بسیار دارد .
تر وخشک را باهم سوختن,Negative,dyanati_proverb,استثنا در کار نبودن .
تا تنور گرم است نان را بچسبان,Positive,dyanati_proverb,کامالً از فرصت استفاده کردن .
ته جیبش تار عنکبوت بسته است,Negative,dyanati_proverb,بی پول و فقیر است.
تیرش به سنگ میخوره,Negative,dyanati_proverb,به هدفش نمیرسه .
توی حول ولا ماندن,Negative,dyanati_proverb,مضطرب بودن، تردید داشتن.
توی هچل افتادن,Negative,dyanati_proverb,گرفتار شدن، دچار زحمت شدن.
تافته جدا بافته بودن,Negative,dyanati_proverb,خود را غیر از بقیه دانستن.
تو به خیر و من به سلامت,Negative,dyanati_proverb,دیگر ما به یکدیگر کاری نداریم.
توانگری به قناعت به از توانگری به بضاعت,Positive,dyanati_proverb,کسی که قانع است قدرتمند است.
جواب ابلهان خاموشیست,Positive,dyanati_proverb,جواب نادانها را نباید داد.
جایی نمی رود که آبرویش رود,Positive,dyanati_proverb,عاقل است.
جواب دندان شکن,Negative,dyanati_proverb,یعنی با منطق و حساب پاسخ دادن .
جنگل مولاست,Negative,dyanati_proverb,جماعتی نامناسب در جایی جمع شده اند .
جان کسی را به لب آوردن,Negative,dyanati_proverb,زیادی منتظر شدن.
جنسش شیشه خورده دارد,Negative,dyanati_proverb,نادرست است.
جای که نمک خوردی نمکدان مشکن,Negative,dyanati_proverb,در نکوهش خیانت به افرادی که در حق آدم خوبی کرده اند .
جهان ای برادر نماند به کس دل اندر جهان آفرین بند و بس,Positive,dyanati_proverb,دوری از دل بستن به دنیا )نزدیک شدن به خدا(.
جلز ولز کردن,Negative,dyanati_proverb,بسیار التماس زاری کردن.
جوانمردی که بخورد و بدهد به از عابری که نخورد و بنهد,Positive,dyanati_proverb,جوانمردی که به دیگران کمک می کند بهتر از پارسایی است که  نمی خورد و به دیگران هم کمک نمی کنند .
چشمش شور است,Negative,dyanati_proverb,کسی که چشم گیرا داشته باشد و باعث آسیب دیگران شود .
چند تا پیراهن بیشتر پاره کرده,Positive,dyanati_proverb,با تجربه تر است.
چیزی بارش نیست,Negative,dyanati_proverb,ساده لوح بودن .
چیزی در چنته نداشتن,Negative,dyanati_proverb,بی اطلاع بودن .
چشمش آلبالو گیلاس می چینه,Negative,dyanati_proverb,چیزی را به طور درست نمی بیند .
چوب دوسر نجس,Negative,dyanati_proverb,کسی که مورد نفرت دو طرف دعوا و نزاع باشد .
چوب به لانه زنبور کردن,Negative,dyanati_proverb,کارهای خطرناک انجام دادن.
حق کسی را کف دستش گذاشتن,Negative,dyanati_proverb,سزای عمل کسی را دادن.
حلزون خود را به جمع شاخدارها می کند,Negative,dyanati_proverb,چیزی کوچک وبی اهمیت خود را داخل بزرگان می کند .
حرفهای گنده تر از دهنش میزنه,Negative,dyanati_proverb,سخنان نامناسب زدن.
حسود از نعمت حق بخیل است و بنده بی گناه را دشمن می داند,Negative,dyanati_proverb,حسادت.
حال درماندگان کسی داند که به اصول خویش درماند,Negative,dyanati_proverb,دردمندی .
حلوا حلوا دهن شیرین نمیشه,Negative,dyanati_proverb,با زدن حرف حلوا بدان که دهانت شیرین نمی شود .
خرس را به رقص آوردیم دمش را به دست آوردیم,Positive,dyanati_proverb,کسی را وادار به انجام کاری کردن واز آن نتیجه گرفتن .
خدا از دهنت بشنوه,Positive,dyanati_proverb,کاش همان شود که شما گفتین.
خروس بی محل بودن,Negative,dyanati_proverb,وقتو زمان را تشخیص ندادن.
خاله زنک بازی در آوردن,Negative,dyanati_proverb,حرکات غیر جدی زنانه داشتن .
خر تو خر بودن,Negative,dyanati_proverb,هرج و مرج، بی نظمی و شلوغی زیاد .
دیگ به دیگ می گه روت سیاه,Negative,dyanati_proverb,کسی که عیب دارد به دیگران طعنه می زند .
دشمن دانا به از دوست نادان,Positive,dyanati_proverb,دانایی و فهمیدگی گرچه در دوست باشد، خوب است.
درخت هرچه بارش بیشتر می شود سر فروتر می رود,Positive,dyanati_proverb,در ستایش فروتنی افراد دارای مقام ویا ثروت.
دود از کنده بلند میشه,Positive,dyanati_proverb,با تجربه بودن افراد مسن.
دشمن آن به که نیکی بینند,Positive,dyanati_proverb,نیکوکاری حتی در حق دشمنان.
داشتم فایده نداره از داریم بگو,Positive,dyanati_proverb,از آنچه داشتی نگو بگو اکنون چه داری .
ریگ تو کفششه,Negative,dyanati_proverb,منظور داشتن نقشه ی بدی در فکر .
رفتم ثواب کنم کباب شدم,Negative,dyanati_proverb,در برابر خوبی، بدی دیدم .
روزگار کسی را سیاه کردن,Negative,dyanati_proverb,او را بدبخت کردن .
رنگش مثل گچ سفید شد,Negative,dyanati_proverb,منظور کسی است که از چیزی ترسیده و رنگش پریده باشد .
روزه خوردنش را دیده ایم نماز کردنش را ندیده ایم,Negative,dyanati_proverb,کار بدش را دیدیم اما کار خوبش را ندیدیم.
ریش خود را در آسیاب سفید کرده,Negative,dyanati_proverb,با تجربه و آزموده نیست.
ریش در دست دیگران داشتن,Negative,dyanati_proverb,اختیار در دست خود نداشتن.
رگ خواب کسی را به دست آورن,Negative,dyanati_proverb,پیدا کردن نقطه ی ضعف کسی .
رفت که ریش در بیاورد، سبیلش را هم باخت,Negative,dyanati_proverb,خواست وضع بهتری پیدا کند، آنچه داشت از دست داد .
روی کسی را سفید کردن,Positive,dyanati_proverb,موجب سربلندی و خشنودی کسی شدن.
زدیم و نگرفت,Negative,dyanati_proverb,کسی که خود را به خطر می اندازد و نتیجه ای نداشته باشد .
زبانم مو در آورد,Negative,dyanati_proverb,وقتی که کسی زیاد توضیح دهد و نتیجه نداشته باشد .
زن نانجیب گرفتن آسان و نگه داشتن او مشکل,Negative,dyanati_proverb,هر جور زن هرجا پیدا می شود .
زیر آب کسی را زدن,Negative,dyanati_proverb,کسی را نزد دیگری بی اعتبار کردن.
زمین دهان باز کرد و مرا در خود فرو برد,Negative,dyanati_proverb,از بسیاری خجالتی چنین آرزویی کردن.
زن به در سرای مرد نکو هم درین عالم است دوزخ او,Negative,dyanati_proverb,تاثیر خواب همنشینی با افراد نیکوکار.
زیر اندازش زمین است و رواندازش آسمان,Negative,dyanati_proverb,فقیر و بی چیز است.
زیر رنج بود گنج های پنهانی,Positive,dyanati_proverb,نتیجه دادن زحمات.
سرش به تنش زیادی کرده است,Negative,dyanati_proverb,از جانش سیر شده است.
سکوت نشانه ی رضایت است,Positive,dyanati_proverb,وقتی کسی ساکت است رضایتش را نشان می دهد
سبیلش را چرب کردن,Negative,dyanati_proverb,یعنی به کسی رشوه دادن .
سیر به پیاز میگه پیف پیف چقدر بو میدی,Negative,dyanati_proverb,کنایه به کسی است که خود پر از عیب و اشکال است ولی عیب کوچک دیگران  را بزرگ جلوه دهد .
سخن را سر است ای خردمند و بن میاور سخن در میان سخن,Positive,dyanati_proverb,دوری کردن از میان حرف دیگران پریدن.
شاهنامه آخرش خوش است,Positive,dyanati_proverb,همیشه در اول کار نباید قضاوت کرد.
شمر، جلودارش نمیشه,Negative,dyanati_proverb,یعنی بسیار آدم شروری است.
شش ماهه به دنیا آمدن,Negative,dyanati_proverb,بسیار عجول بودن .
شیطان با مخلصان بر نمی آید و سلطان با مفلسان,Negative,dyanati_proverb,شیطان با آدمهای یک رنگ کاری ندارد.
شوی زن زشت روی و نابینا به,Negative,dyanati_proverb,شوهر زن زشت و نابینا باشد بهتر است.
شام و ناهار هیچ چیز ، آفتابه لگن هفت دست,Negative,dyanati_proverb,خوراکی هیچ، اسباب و ظروف و سفره بیار، اصل هیچ و فروع بسیار است.
شیطان را درس دادن,Negative,dyanati_proverb,باهوش و حیله گر بودن )جهت منفی( .
صابونش به جامه ی کسی خوردن,Negative,dyanati_proverb,یعنی ضرور و زیان به او هم رسیده.
صد سال گدایی کرد امّا شب جمعه را نمیداند,Negative,dyanati_proverb,کسی که به رموز کار خود آگاه نیست.
صورتش را با سیلی سرخ نگاه می دارد,Positive,dyanati_proverb,آبرومندانه زندگی کردن .
صیاد بی روزی در دجله نگیرد و ماهی بی اجل بر خشک نمیرد,Positive,dyanati_proverb,روزی.
صاحبدلی به مدرسه آمد ز خانقاه بشکست عهد صحبت اهل طریق را,Negative,dyanati_proverb,پیمان شکنی .
صدا از ته چاه بر آمدن,Negative,dyanati_proverb,ضعیف بودن.
صبر ایّوب داشتن,Positive,dyanati_proverb,بسیار بردبار و صبور بودن .
ضامن روزی بود روزی رسان,Positive,dyanati_proverb,اعتقاد به روزی دهندگی خدا.
طوطی وار یاد گرفتن,Negative,dyanati_proverb,مطلبی را سرسری یاد گرفتن.
طمع را سه حرف است هر سه تهی,Negative,dyanati_proverb,در مذمت و نکوهش طمع.
طناب مفت را کردید خود را به دار زد,Negative,dyanati_proverb,از هرچه رایگان باشد استفاده می نماید .
طبل تو خالیست,Negative,dyanati_proverb,فقط داد و فریاد می زند وگرنه چیزی بارش نیست.
طاووس را به نقش و نگاری که هست خلق تحسین کنند و او خجل از پای زشت خویش,Negative,dyanati_proverb,ظاهر بینی افراد.
عجله کار شیطونه,Negative,dyanati_proverb,عجله کار درستی نیست.
عاقبت حق به حقدار رسید,Positive,dyanati_proverb,همیشه در سرانجام هر کار کسی که حق دارد برنده است.
عروس تعریفی آخرش شلخته در می آید,Negative,dyanati_proverb,دوری از تکبر و یا خود تعریفی.
عطای او را به لقای او بخشیدم,Negative,dyanati_proverb,در مورد افرادی که خیر و شر آنها یکی است.
عقل کسی گرد شدن,Negative,dyanati_proverb,عقل درست و حسابی نداشتن، کم شدن عقل کسی .
فرار بر قرار ترجیح دادن,Negative,dyanati_proverb,برای اجتناب از خطر فرار کردن .
فردا هم روز خداست,Positive,dyanati_proverb,یعنی اجبار نیست که همه کارها را امروز بکنید .
فلانی اجاقش کوره,Negative,dyanati_proverb,منظور از کسی است که بچه دار نمی شود.
فضول و بردن جهنم گفت هیزمش تر است,Negative,dyanati_proverb,بسیار ایراد گیر و اعتراض کننده .
فرومایه هزار سنگ بر می دارد و طاقت سختی نمی آورد,Negative,dyanati_proverb,بی تحمل و طاقت بودن افراد بدکار.
فکر نان کن که خربزه آب است,Positive,dyanati_proverb,دل به چیزهای بیهوده نبستن.
قاشق نداره آش بخورد,Negative,dyanati_proverb,کنایه از شخص بینهایت تهیدست است و وسیله لازم را در اختیار ندارد.
قوز القوز,Negative,dyanati_proverb,کار را خراب تر از آنچه که بود کردن .
قارت و قورت کردن,Negative,dyanati_proverb,ادعا داشتن با خشم و خشونت.
کو گوش شنوا,Negative,dyanati_proverb,گوش ندادن به حرف.
کاچی بهتر از هیچی است,Positive,dyanati_proverb,چیز کم بهتر از هیچ چیز است.
کوزه گر از کوزه شکسته آب می خورد,Negative,dyanati_proverb,خسیس بودن .
کارها به صبر برآید و مستعجل به سر در آید,Positive,dyanati_proverb,صبر .
کس نبیند بخیل فاضل را کر نه در عیب گفتنش کوشد ور کریمی دو صد گز دارد کرمش عیبها فرو پوشد,Positive,dyanati_proverb,افراد فاضل.
کرم بین و لطف خداوندگار گر بنده کرده است و او شرمسار,Negative,dyanati_proverb,در نکوهش بد کاری .
گاومون زاییده,Negative,dyanati_proverb,دردسر به سراغ آدم آمدن.
گردن کج کردن,Negative,dyanati_proverb,خود را کوچک کردن، عاجزانه چیزی از کسی خواستن.
گز نکرده پاره کردن,Negative,dyanati_proverb,بدون مطالعه به کاری مبادرت کردن .
گرگ که پیر می شود، رقاص شغال می شود,Negative,dyanati_proverb,هر آدم شروری، در روزگار پیری دست آموز دیگرانست.
لگد به بخت خود زدن,Negative,dyanati_proverb,در مقابل خود ایستادن .
لبش بوی شیر می دهد,Negative,dyanati_proverb,بی تجربگی فرد .
لفت دادن کاری,Negative,dyanati_proverb,به درازا کشاندن کارو با تشریفات زیاد به آن پرداختند .
لذتی که در بخشش هست در انتقام نیست,Positive,dyanati_proverb,وقتی می توان ببخشی انتقام نگیر.
مگر کله گنجشک خورده ای؟,Negative,dyanati_proverb,بسیار پر حرف هستی.
مار خورده و افعی شده,Negative,dyanati_proverb,شرارت کسی.
مرغ همسایه غاز است,Negative,dyanati_proverb,نا آگاهی.
مار پوست خود بگذارد اما خوی خود نگذارد,Negative,dyanati_proverb,اخلاق و رفتار افراد عوض نمی شود.
مگو اندوه خویش با دشمنان که المول گویند شادی کنان,Positive,dyanati_proverb,دشمن را به ناراحتی خود شاد نکن.
مورچگان را چو بود اتفاق شیر ژیان را به راننده پوست,Positive,dyanati_proverb,در ستایش اتحاد و همبستگی.
من می گویم نر است تو می گویی بدوش,Negative,dyanati_proverb,بی جهت اصرار کردن.
مار تو آستین پرورش دادن,Negative,dyanati_proverb,محبت به افراد زیان رساننده.
مال از بهر آسایش عمر است نه عمر از بهر گرد کردن مال,Positive,dyanati_proverb,آسایش.
مومن مسجد ندیده,Negative,dyanati_proverb,به شوخی به کسی می گویند که تظاهر به تقدس دارد.
ناز شست گرفتن,Positive,dyanati_proverb,پاداش و جایزه گرفتن .
نفس از جای گرم برآمدن,Negative,dyanati_proverb,در مورد شخصی گفته می شود که بی خیال مستمندان باشد .
نم پس نمی دهد,Positive,dyanati_proverb,کارش عیب و ایراد ندارد .
نخود هر آش شدن,Negative,dyanati_proverb,فضول بودن .
نور علی نور بودن,Positive,dyanati_proverb,کار خیلی خوب بودن.
نان خود خوردن و نشستن به که کمر زرین بستن و به خدمت ایستادن,Positive,dyanati_proverb,قناعت.
نصیحت پادشاهان کردن کسی را مسلم بود که نیم سر ندارد یا امید,Negative,dyanati_proverb,کار بیهوده.
نان از برای کنج عبادت گرفته اند صاحب دالن به کنج عبادت برای نان,Negative,dyanati_proverb,سوء استفاده.
نه زنگی زنگ نه رومی روم,Positive,dyanati_proverb,میانه رو بودن، متوسط بودن.
وفاداری مدار از بلبلان چشم که هردم بر گلی دیگر سرآیند,Negative,dyanati_proverb,بی وفایی .
وقت نداره سرشو بخارونه,Negative,dyanati_proverb,منظور آنست که گرفتار است.
هر پستی، بلندی دارد,Positive,dyanati_proverb,بعد از هر سختی آسانی است .
هادی، هادی اسم خود بر ما نهادی,Negative,dyanati_proverb,یعنی که به ارتکاب عمل خلافی دست زده ای و مرا بدان متهم می کنی.
هرکه در حال توانایی نکویی نکند از وقت ناتوانی سختی ببیند,Positive,dyanati_proverb,انجام کار خوب.
هرکه در زندگانی نانش نخورند چون بمیرد نامش نبرند,Positive,dyanati_proverb,کار حسنه کردن در این دنیا .
هر که آمد عمارتی نو ساخت رفت و منزل به دیگری پرداخت,Negative,dyanati_proverb,بی وفابودن روزگار.
هرچی دیدی ازچشم خودت دیدی,Negative,dyanati_proverb,مقصر خودت هستی .
هر که نان از عمل خویش خورد منت از حاتم طائی نبرد,Positive,dyanati_proverb,قناعت.
هر که با بزرگان ستیز و خون خود ریزد,Negative,dyanati_proverb,پا از گلیم خود دراز کردن.
هر چه سنگ است مال پای لنگ است,Negative,dyanati_proverb,آسیب و صدمه همیشه به آدمهای بیچاره می رسد .
یال و کوپال داشتن,Positive,dyanati_proverb,سرو وضع خوب داشتن.
یکی به دو کردن,Negative,dyanati_proverb,جر و بحث کردن.
یک دستی گرفتن,Negative,dyanati_proverb,کسی را کمتر از آنچه هست پنداشتن.
یک پاش لب گور است,Negative,dyanati_proverb,پیر است.
یک گوش در است و گوش دیگر دروازه,Negative,dyanati_proverb,کسی که مطلبی را به خاطر نمی سپارد.
یار دیرینه مرا گو به زبان توبه مده که مرا توبه شمشیری نخواهد بودن,Negative,dyanati_proverb,سرسختی .
اب اماله,Negative,moeen_idioms,"{'فرهنگ معین': '( آب اماله )\n(بِ اِ لِ ) [ فا - ع . ] ( اِ. ) هر داروی مایعی که ا ز طریق تنقیه به بیمار منتقل کنند.', 'پیشنهاد کاربران': 'آب اماله: آب صابون، جوشانده گل ختمی یا ملیّن دیگری که برای تنقیه به کار می رود.\n( صدری افشار، غلامحسین و همکاران، فرهنگ فارسی معاصر )\nآب اماله: آب صابون، جوشانده گل ختمی یا ملّین دیگر ی که برای تنقیه به کار می رود.\n( صدری افشار، غلامحسین، فرهنگ فارسی معاصر )\nاین چرا مثل آب اماله هی میره و میاد؟ ( احمدمحمود، رمان مدارصفردرجه )\nآب اماله : رفت آمد هرزه .\n( ( ""تو این خونه هزار جور آدم رفت و آمد داشت ، همه مثه آب اماله می اومدن و می رفتن . "" ) ) ( صادق چوبک ، پیرهن زرشکی )\nکنایه از کسی که رفت وآمد بی مورد دارد، هرزه گرد\n+ عکس و لینک'}"
